"","COMMODITY.YEAR.ID","STATE.CODE","STATE.ABBREVIATION","COUNTY.CODE","COUNTY.NAME","COMMODITY.CODE","COMMODITY.NAME","INSURANCE.PLAN.CODE","INSURACE.PLAN.NAME.ABBREVIATION","COVERAGE.CATEGORY","STAGE.CODE","CAUSE.OF.LOSS.CODE","CAUSE.OF.LOSS.DESCRIPTION.x","MONTH.OF.LOSS","MONTH.OF.LOSS.NAME","YEAR.OF.LOSS","POLICIES.EARNING.PERMIUM","POLICIES.INDEMNIFIED","NET.PLANTED.ACRES","NET.ENDORSED.ACRES","LIABILITY","TOTAL.PREMIUM","PRODUCER.PAID.PREMIUM","SUBSIDY","STATE_PRIVATE.SUBSIDY","ADDITIONAL.SUBSIDY","NET.DETERMINED.ACRES","INDEMNITY.AMOUNT","LOSS.RATIO","CAUSE.OF.LOSS.DESCRIPTION.y"
"7106",1990,37,"NC",13,"Beaufort                      ",11,"WHEAT                         ",90,NA,NA,"0H","31","",12,"DEC",NA,1,1,29.2,0,2443,250,207,43,0,0,29.2,444,1.78,"Excess Moisture/Precipitation/Rain                                                                  "
"7107",1990,37,"NC",13,"Beaufort                      ",11,"WHEAT                         ",90,NA,NA,"0H","31","",12,"DEC",NA,1,1,29.2,0,2443,250,207,43,0,0,29.2,444,1.78,"Excess Moisture/Precipitation/Rain"
"7108",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"04","11","",0,"   ",NA,12,12,634.87,0,74564.5,6511.5,5065.6,1445.9,0,0,625.97,27594.6,4.24,"Drought"
"7109",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"UH","11","",9,"SEP",NA,2,2,90.5,0,11512,798,560,238,0,0,90.5,10796,13.53,"Drought"
"7110",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"UH","11","",7,"JUL",NA,1,1,35.04,0,2811,234,162,72,0,0,35.04,2189,9.35,"Drought"
"7111",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","11","",6,"JUN",NA,4,4,338.51,0,40176,2892,2122,770,0,0,338.51,21349,7.38,"Drought"
"7112",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","11","",9,"SEP",NA,4,4,143.05,0,16782,1481,1032,449,0,0,143.05,7827,5.28,"Drought"
"7113",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","11","",7,"JUL",NA,23,23,2289.89,0,292916,25470.5,18509,6961.5,0,0,2405.265,184788,7.25,"Drought"
"7114",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"04","12","",0,"   ",NA,1,1,75.63,0,9733.5,508.5,359.4,149.1,0,0,75.63,1628.4,3.2,"Heat"
"7115",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"UH","12","",7,"JUL",NA,1,1,12.2,0,1334,110,77,33,0,0,12.2,1233,11.21,"Heat"
"7116",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0R","31","",4,"APR",NA,1,1,115.4,0,13232,1217.5,847,370.5,0,0,188.1,3462,2.84,"Excess Moisture/Precipitation/Rain                                                                  "
"7117",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0R","31","",4,"APR",NA,1,1,115.4,0,13232,1217.5,847,370.5,0,0,188.1,3462,2.84,"Excess Moisture/Precipitation/Rain"
"7118",1990,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0R","71","",5,"MAY",NA,1,1,109.9,0,15115,1047,735,312,0,0,24.15,445,0.43,"Insects"
"7119",1990,37,"NC",13,"Beaufort                      ",71,"TOBACCO                       ",30,NA,NA,"04","11","",0,"   ",NA,7,7,20.92,0,52001,1632,1312,320,0,0,20.91025,8797,5.39,"Drought"
"7120",1990,37,"NC",13,"Beaufort                      ",71,"TOBACCO                       ",30,NA,NA,"0H","11","",10,"OCT",NA,1,1,4.916,0,13866.8,790.4,665.6,124.8,0,0,4.916,6190.8,7.83,"Drought"
"7121",1990,37,"NC",13,"Beaufort                      ",71,"TOBACCO                       ",30,NA,NA,"0H","11","",7,"JUL",NA,7,7,123.55,0,290177,10569,7992,2577,0,0,123.54,98024,9.27,"Drought"
"7122",1990,37,"NC",13,"Beaufort                      ",71,"TOBACCO                       ",30,NA,NA,"0H","31","",8,"AUG",NA,1,1,8.16,0,21059.4,1080.6,909.6,171,0,0,8.16,10045.2,9.3,"Excess Moisture/Precipitation/Rain                                                                  "
"7123",1990,37,"NC",13,"Beaufort                      ",71,"TOBACCO                       ",30,NA,NA,"0H","31","",8,"AUG",NA,1,1,8.16,0,21059.4,1080.6,909.6,171,0,0,8.16,10045.2,9.3,"Excess Moisture/Precipitation/Rain"
"7124",1990,37,"NC",13,"Beaufort                      ",71,"TOBACCO                       ",30,NA,NA,"0H","81","",7,"JUL",NA,1,1,7.374,0,20800.2,1185.6,998.4,187.2,0,0,7.374,9286.2,7.83,"Plant Disease"
"7125",1990,37,"NC",13,"Beaufort                      ",71,"TOBACCO                       ",30,NA,NA,"0H","81","",10,"OCT",NA,1,1,5.44,0,14039.6,720.4,606.4,114,0,0,5.44,6696.8,9.3,"Plant Disease"
"7126",1990,37,"NC",13,"Beaufort                      ",81,"SOYBEANS                      ",90,NA,NA,"UH","11","",7,"JUL",NA,2,2,25.1,0,1659,250,175.5,74.5,0,0,27,1796,7.18,"Drought"
"7127",1990,37,"NC",13,"Beaufort                      ",81,"SOYBEANS                      ",90,NA,NA,"1","11","",0,"   ",NA,1,1,70.14,0,4644.85,1046.5,870.1,176.4,0,0,9.03,312.9,0.3,"Drought"
"7128",1990,37,"NC",13,"Beaufort                      ",81,"SOYBEANS                      ",90,NA,NA,"0H","11","",7,"JUL",NA,4,4,279.61,0,16199.8,2984.5,2162.7,821.8,0,0,277.71,1866.9,0.63,"Drought"
"7129",1990,37,"NC",13,"Beaufort                      ",81,"SOYBEANS                      ",90,NA,NA,"04","11","",0,"   ",NA,2,2,73.44,0,4802.85,1080.5,894.1,186.4,0,0,134.55,238.1,0.22,"Drought"
"7130",1990,37,"NC",13,"Beaufort                      ",81,"SOYBEANS                      ",90,NA,NA,"1","93","",0,"   ",NA,1,1,30.06,0,1990.65,448.5,372.9,75.6,0,0,3.87,134.1,0.3,"Wildlife"
"7131",1990,37,"NC",13,"Beaufort                      ",81,"SOYBEANS                      ",90,NA,NA,"04","93","",0,"   ",NA,1,1,30.06,0,1990.65,448.5,372.9,75.6,0,0,56.25,48.9,0.11,"Wildlife"
"7132",1990,37,"NC",13,"Beaufort                      ",81,"SOYBEANS                      ",90,NA,NA,"0H","93","",10,"OCT",NA,1,1,3.64,0,289.2,63.5,52.8,10.7,0,0,3.64,139.1,2.19,"Wildlife"
"7133",1990,37,"NC",13,"Beaufort                      ",9999,"All Other Crops               ",90,NA,NA,"0H","11","",10,"OCT",NA,1,1,66.4,0,10282.8,1861.2,1306,555.2,0,0,66.4,3716,2,"Drought"
"7134",1990,37,"NC",13,"Beaufort                      ",9999,"All Other Crops               ",10,NA,NA,"0H","11","",7,"JUL",NA,1,1,682.8,0,4981.8,381,268.8,112.2,0,0,13.68,3715.2,9.75,"Drought"
"7135",1990,37,"NC",13,"Beaufort                      ",9999,"All Other Crops               ",10,NA,NA,"UH","11","",7,"JUL",NA,1,1,682.8,0,5462.4,417.6,295.2,122.4,0,0,15,4369.8,10.46,"Drought"
"7136",1990,37,"NC",13,"Beaufort                      ",9999,"All Other Crops               ",84,NA,NA,"0H","12","",7,"JUL",NA,1,1,4.4,0,1820,170,120,50,0,0,4.4,1820,10.71,"Heat"
"7137",1990,37,"NC",13,"Beaufort                      ",9999,"All Other Crops               ",90,NA,NA,"0H","31","",4,"APR",NA,1,1,99.6,0,15424.2,2791.8,1959,832.8,0,0,99.6,5574,2,"Excess Moisture/Precipitation/Rain                                                                  "
"7138",1990,37,"NC",13,"Beaufort                      ",9999,"All Other Crops               ",90,NA,NA,"0H","31","",4,"APR",NA,1,1,99.6,0,15424.2,2791.8,1959,832.8,0,0,99.6,5574,2,"Excess Moisture/Precipitation/Rain"
"7139",1990,37,"NC",13,"Beaufort                      ",9999,"All Other Crops               ",10,NA,NA,"UH","93","",10,"OCT",NA,1,1,455.2,0,3641.6,278.4,196.8,81.6,0,0,10,2913.2,10.46,"Wildlife"
"7140",1990,37,"NC",13,"Beaufort                      ",9999,"All Other Crops               ",10,NA,NA,"0H","93","",10,"OCT",NA,1,1,455.2,0,3321.2,254,179.2,74.8,0,0,9.12,2476.8,9.75,"Wildlife"
"7141",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","11","Drought                                                                                             ",6,"JUN",NA,5,5,520.95,0,75463.5,7689,5962.5,1726.5,0,0,608.8,34600,4.5,"Drought"
"7142",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","11","Drought                                                                                             ",5,"MAY",NA,1,1,46.2,0,6153,487,343,144,0,0,46.2,2077,4.26,"Drought"
"7143",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"1","11","Drought                                                                                             ",6,"JUN",NA,2,2,15.9,0,2114.1,304.8,253.2,51.6,0,0,12.6,1303.8,4.28,"Drought"
"7144",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"UH","11","Drought                                                                                             ",9,"SEP",NA,1,1,146.5,0,17522,1640,1152,488,0,0,146.5,17045,10.39,"Drought"
"7145",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","11","Drought                                                                                             ",7,"JUL",NA,13,13,1327.536,0,152091.6,14524.7,10194.7,4330,0,0,1327.5225,48148.8,3.31,"Drought"
"7146",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"UH","11","Drought                                                                                             ",5,"MAY",NA,3,3,55.63,0,6728.5,618,434,184,0,0,47.58,5459,8.83,"Drought"
"7147",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"04","11","Drought                                                                                             ",6,"JUN",NA,2,2,15.9,0,2114.1,304.8,253.2,51.6,0,0,19.2,1708.8,5.61,"Drought"
"7148",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","11","Drought                                                                                             ",1,"JAN",NA,1,1,10.5,0,1335,117,83,34,0,0,10.5,426,3.64,"Drought"
"7149",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","12","Heat                                                                                                ",10,"OCT",NA,1,1,40.344,0,3977.4,372.3,261.3,111,0,0,40.3425,1324.2,3.56,"Heat"
"7150",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",7,"JUL",NA,1,1,27.15,0,3291,308,216,92,0,0,27.15,1268,4.12,"Excess Moisture/Precipitation/Rain                                                                  "
"7151",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",7,"JUL",NA,1,1,27.15,0,3291,308,216,92,0,0,27.15,1268,4.12,"Excess Moisture/Precipitation/Rain"
"7152",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0R","31","Excess Moisture/Precipitation/Rain                                                                  ",3,"MAR",NA,1,1,63.3,0,7192,748,525,223,0,0,32,589,0.79,"Excess Moisture/Precipitation/Rain                                                                  "
"7153",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"0R","31","Excess Moisture/Precipitation/Rain                                                                  ",3,"MAR",NA,1,1,63.3,0,7192,748,525,223,0,0,32,589,0.79,"Excess Moisture/Precipitation/Rain"
"7154",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"04","31","Excess Moisture/Precipitation/Rain                                                                  ",8,"AUG",NA,2,2,260.385,0,46475.65,3025.85,2313.275,712.575,0,0,417.84,10813.6,3.57,"Excess Moisture/Precipitation/Rain                                                                  "
"7155",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"04","31","Excess Moisture/Precipitation/Rain                                                                  ",8,"AUG",NA,2,2,260.385,0,46475.65,3025.85,2313.275,712.575,0,0,417.84,10813.6,3.57,"Excess Moisture/Precipitation/Rain"
"7156",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"07","31","Excess Moisture/Precipitation/Rain                                                                  ",0,"   ",NA,1,1,63.65,0,9598.5,596.5,414.75,181.75,0,0,238.6,1872,3.14,"Excess Moisture/Precipitation/Rain                                                                  "
"7157",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"07","31","Excess Moisture/Precipitation/Rain                                                                  ",0,"   ",NA,1,1,63.65,0,9598.5,596.5,414.75,181.75,0,0,238.6,1872,3.14,"Excess Moisture/Precipitation/Rain"
"7158",1991,37,"NC",13,"Beaufort                      ",41,"CORN                          ",90,NA,NA,"04","31","Excess Moisture/Precipitation/Rain                                                                  ",0,"   ",NA,1,1,34.525,0,3347.5,584.75,485.25,99.5,0,0,34.525,944,1.61,"Excess Moisture/Precipitation/Rain                                                                  "
