"","COMMODITY.YEAR.ID","STATE.CODE","STATE.ABBREVIATION","COUNTY.CODE","COUNTY.NAME","COMMODITY.CODE","COMMODITY.NAME","INSURANCE.PLAN.CODE","INSURACE.PLAN.NAME.ABBREVIATION","COVERAGE.CATEGORY","STAGE.CODE","CAUSE.OF.LOSS.CODE","CAUSE.OF.LOSS.DESCRIPTION.x","MONTH.OF.LOSS","MONTH.OF.LOSS.NAME","YEAR.OF.LOSS","POLICIES.EARNING.PERMIUM","POLICIES.INDEMNIFIED","NET.PLANTED.ACRES","NET.ENDORSED.ACRES","LIABILITY","TOTAL.PREMIUM","PRODUCER.PAID.PREMIUM","SUBSIDY","STATE_PRIVATE.SUBSIDY","ADDITIONAL.SUBSIDY","NET.DETERMINED.ACRES","INDEMNITY.AMOUNT","LOSS.RATIO","CAUSE.OF.LOSS.DESCRIPTION.y"
"3507",1992,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,"NULL",NA,"UH","31","Excess Moisture/Precipitation/Rain                                                                  ",7,"JUL",NA,1,1,1024.8,0,216294,23165,16157,7008,0,0,1024.8,173550,7.49,"Excess Moisture/Precipitation/Rain                                                                  "
"3508",1992,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,"NULL",NA,"UH","31","Excess Moisture/Precipitation/Rain                                                                  ",7,"JUL",NA,1,1,1024.8,0,216294,23165,16157,7008,0,0,1024.8,173550,7.49,"Excess Moisture/Precipitation/Rain"
"3509",1992,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",30,"NULL",NA," H","31","Excess Moisture/Precipitation/Rain                                                                  ",8,"AUG",NA,1,1,38.5,0,80127,2564,1763,801,0,0,38.5,19437,7.58,"Excess Moisture/Precipitation/Rain                                                                  "
"3510",1992,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",30,"NULL",NA," H","31","Excess Moisture/Precipitation/Rain                                                                  ",8,"AUG",NA,1,1,38.5,0,80127,2564,1763,801,0,0,38.5,19437,7.58,"Excess Moisture/Precipitation/Rain"
"3511",1993,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA,NA,"UH","11","Drought                                                                                             ",10,"OCT",NA,1,1,71.675,0,5311,717,502,215,0,0,123.2,3458,4.82,"Drought"
"3512",1993,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA,NA," H","11","Drought                                                                                             ",10,"OCT",NA,4,4,261.825,0,21045,2683,1878,805,0,0,193,5688,2.12,"Drought"
"3513",1993,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA,NA,"H ","11","Drought                                                                                             ",7,"JUL",NA,1,1,1080.8,0,89576,17494,14511,2983,0,0,1080.8,57396,3.28,"Drought"
"3514",1993,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA,NA," H","11","Drought                                                                                             ",6,"JUN",NA,1,1,351.5,0,74187,7611,5341,2270,0,0,351.5,29280,3.85,"Drought"
"3515",1994,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA," ","H ","11","Drought                                                                                             ",6,"JUN",NA,1,1,2015.7,0,149968,35632,29559,6073,0,0,2015.7,57987,1.63,"Drought"
"3516",1994,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA," ","R ","11","Drought                                                                                             ",6,"JUN",NA,3,3,384.35,0,25110,5149.5,3601.5,1548,0,0,380.4,6735,1.31,"Drought"
"3517",1994,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA," ","H ","11","Drought                                                                                             ",7,"JUL",NA,1,1,321.4,0,61169,6772,4735,2037,0,0,321.4,16048,2.37,"Drought"
"3518",1994,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA," ","UH","31","Excess Moisture/Precipitation/Rain                                                                  ",10,"OCT",NA,1,1,35.183,0,2307.28,406.945,284.635,122.31,0,0,40.083,2249.3,5.53,"Excess Moisture/Precipitation/Rain                                                                  "
"3519",1994,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA," ","UH","31","Excess Moisture/Precipitation/Rain                                                                  ",10,"OCT",NA,1,1,35.183,0,2307.28,406.945,284.635,122.31,0,0,40.083,2249.3,5.53,"Excess Moisture/Precipitation/Rain"
"3520",1994,37,"NC",31,"Carteret                      ",9999,"All Other Crops               ",90,NA," ","H ","31","Excess Moisture/Precipitation/Rain                                                                  ",9,"SEP",NA,4,4,170.35,0,12704,2630,1839,791,0,0,217.9,8050,3.06,"Excess Moisture/Precipitation/Rain                                                                  "
