"","COMMODITY.YEAR.ID","STATE.CODE","STATE.ABBREVIATION","COUNTY.CODE","COUNTY.NAME","COMMODITY.CODE","COMMODITY.NAME","INSURANCE.PLAN.CODE","INSURACE.PLAN.NAME.ABBREVIATION","COVERAGE.CATEGORY","STAGE.CODE","CAUSE.OF.LOSS.CODE","CAUSE.OF.LOSS.DESCRIPTION.x","MONTH.OF.LOSS","MONTH.OF.LOSS.NAME","YEAR.OF.LOSS","POLICIES.EARNING.PERMIUM","POLICIES.INDEMNIFIED","NET.PLANTED.ACRES","NET.ENDORSED.ACRES","LIABILITY","TOTAL.PREMIUM","PRODUCER.PAID.PREMIUM","SUBSIDY","STATE_PRIVATE.SUBSIDY","ADDITIONAL.SUBSIDY","NET.DETERMINED.ACRES","INDEMNITY.AMOUNT","LOSS.RATIO","CAUSE.OF.LOSS.DESCRIPTION.y"
"1460",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",90,NA,NA,"0H","11","",7,"JUL",NA,22,22,3207.945,0,368410.5,35547.3,26789.9,8757.4,0,0,3257.915,208125.6,5.85,"Drought"
"1461",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",90,NA,NA,"UH","11","",6,"JUN",NA,2,2,28.5,0,3068,229,160,69,0,0,5,538,2.35,"Drought"
"1462",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",30,NA,NA,"0H","11","",7,"JUL",NA,2,2,8.83,0,18641.25,537,419,118,0,0,8.83,6514.75,12.13,"Drought"
"1463",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",90,NA,NA,"UH","11","",8,"AUG",NA,5,5,94.613,0,6948.1,1216.3,1009.1,207.2,0,0,34.65845,2224.5,1.83,"Drought"
"1464",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",90,NA,NA,"04","11","",0,"   ",NA,1,1,86.6,0,11519,736,519,217,0,0,86.6,7349,9.99,"Drought"
"1465",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",30,NA,NA,"0H","11","",6,"JUN",NA,9,9,107.266,0,245301.4,8283.7,6848.3,1435.4,0,0,107.266,128339.6,15.49,"Drought"
"1466",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",90,NA,NA,"0H","11","",10,"OCT",NA,1,1,2.1,0,97.3,28.7,23.8,4.9,0,0,2.1,57.75,2.01,"Drought"
"1467",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",90,NA,NA,"1","11","",0,"   ",NA,1,1,4.62,0,469.8,47.1,33,14.1,0,0,4.62,469.8,9.97,"Drought"
"1468",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",90,NA,NA,"0H","11","",8,"AUG",NA,1,1,72.25,0,5414.5,904,753,151,0,0,132.2,4651,5.14,"Drought"
"1469",1990,37,"NC",103,"Jones                         ",9999,"All Other Crops               ",90,NA,NA,"UH","11","",10,"OCT",NA,1,1,1.225,0,62.3,18.55,15.4,3.15,0,0,1.225,62.3,3.36,"Drought"
