"","COMMODITY.YEAR.ID","STATE.CODE","STATE.ABBREVIATION","COUNTY.CODE","COUNTY.NAME","COMMODITY.CODE","COMMODITY.NAME","INSURANCE.PLAN.CODE","INSURACE.PLAN.NAME.ABBREVIATION","COVERAGE.CATEGORY","STAGE.CODE","CAUSE.OF.LOSS.CODE","CAUSE.OF.LOSS.DESCRIPTION.x","MONTH.OF.LOSS","MONTH.OF.LOSS.NAME","YEAR.OF.LOSS","POLICIES.EARNING.PERMIUM","POLICIES.INDEMNIFIED","NET.PLANTED.ACRES","NET.ENDORSED.ACRES","LIABILITY","TOTAL.PREMIUM","PRODUCER.PAID.PREMIUM","SUBSIDY","STATE_PRIVATE.SUBSIDY","ADDITIONAL.SUBSIDY","NET.DETERMINED.ACRES","INDEMNITY.AMOUNT","LOSS.RATIO","CAUSE.OF.LOSS.DESCRIPTION.y"
"1",1992,37,"NC",133,"Onslow                        ",41,"CORN                          ",90,"NULL",NA," H","11","Drought                                                                                             ",7,"JUL",NA,3,3,184.42,0,20341.6,3380.4,2787,593.4,0,0,184.42,4474.8,1.32,"Drought"
"2",1992,37,"NC",133,"Onslow                        ",41,"CORN                          ",90,"NULL",NA,"0H","11","Drought                                                                                             ",7,"JUL",NA,2,2,57.1,0,7130,833,629,204,0,0,57.1,537,0.64,"Drought"
"3",1992,37,"NC",133,"Onslow                        ",41,"CORN                          ",90,"NULL",NA," H","12","Heat                                                                                                ",7,"JUL",NA,1,1,9.08,0,950.4,91.6,64,27.6,0,0,9.08,617.2,6.74,"Heat"
"4",1992,37,"NC",133,"Onslow                        ",41,"CORN                          ",90,"NULL",NA," H","31","Excess Moisture/Precipitation/Rain                                                                  ",5,"MAY",NA,1,1,17,0,2289,340,282,58,0,0,17,1161,3.41,"Excess Moisture/Precipitation/Rain                                                                  "
"5",1992,37,"NC",133,"Onslow                        ",41,"CORN                          ",90,"NULL",NA," H","31","Excess Moisture/Precipitation/Rain                                                                  ",5,"MAY",NA,1,1,17,0,2289,340,282,58,0,0,17,1161,3.41,"Excess Moisture/Precipitation/Rain"
"6",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"UH","11","Drought                                                                                             ",5,"MAY",NA,1,1,0.495,0,1445.4,46.8,39,7.8,0,0,0.495,939.3,20.07,"Drought"
"7",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"0H","11","Drought                                                                                             ",6,"JUN",NA,1,1,31.52,0,87957,3166,2639,527,0,0,31.52,972,0.31,"Drought"
"8",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","11","Drought                                                                                             ",7,"JUL",NA,1,1,1.11,0,3242,117,97,20,0,0,1.11,886,7.57,"Drought"
"9",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","11","Drought                                                                                             ",6,"JUN",NA,1,1,2.01,0,5608.8,154.2,129,25.2,0,0,2.01,1335.6,8.66,"Drought"
"10",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","21","Hail                                                                                                ",6,"JUN",NA,4,4,28.09,0,88502.5,2287,1918.5,368.5,0,0,33.386,45513,19.9,"Hail"
"11",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","21","Hail                                                                                                ",7,"JUL",NA,2,2,3.53,0,9266,219,160.6,58.4,0,0,3.53,2619.6,11.96,"Hail"
"12",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"0H","21","Hail                                                                                                ",6,"JUN",NA,4,4,15.926,0,42138.4,1183.6,922.4,261.2,0,0,15.998,16728.8,14.13,"Hail"
"13",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"UH","21","Hail                                                                                                ",6,"JUN",NA,6,6,53.11,0,152388.5,4451,3717.5,733.5,0,0,47.8,88485,19.88,"Hail"
"14",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"UH","31","Excess Moisture/Precipitation/Rain                                                                  ",6,"JUN",NA,1,1,1.155,0,3372.6,109.2,91,18.2,0,0,1.155,2191.7,20.07,"Excess Moisture/Precipitation/Rain                                                                  "
"15",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"UH","31","Excess Moisture/Precipitation/Rain                                                                  ",6,"JUN",NA,1,1,1.155,0,3372.6,109.2,91,18.2,0,0,1.155,2191.7,20.07,"Excess Moisture/Precipitation/Rain"
"16",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",7,"JUL",NA,3,3,4.36,0,14104,429,362,67,0,0,4.35,7997,18.64,"Excess Moisture/Precipitation/Rain                                                                  "
"17",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",7,"JUL",NA,3,3,4.36,0,14104,429,362,67,0,0,4.35,7997,18.64,"Excess Moisture/Precipitation/Rain"
"18",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",6,"JUN",NA,4,4,18.71,0,48019,1718,1430,288,0,0,18.705,12718,7.4,"Excess Moisture/Precipitation/Rain                                                                  "
"19",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",6,"JUN",NA,4,4,18.71,0,48019,1718,1430,288,0,0,18.705,12718,7.4,"Excess Moisture/Precipitation/Rain"
"20",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","31","Excess Moisture/Precipitation/Rain                                                                  ",8,"AUG",NA,2,2,16.83,0,45600,1642,1367,275,0,0,16.83,12331,7.51,"Excess Moisture/Precipitation/Rain                                                                  "
"21",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","31","Excess Moisture/Precipitation/Rain                                                                  ",8,"AUG",NA,2,2,16.83,0,45600,1642,1367,275,0,0,16.83,12331,7.51,"Excess Moisture/Precipitation/Rain"
"22",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","31","Excess Moisture/Precipitation/Rain                                                                  ",7,"JUL",NA,1,1,1.34,0,3739.2,102.8,86,16.8,0,0,1.34,890.4,8.66,"Excess Moisture/Precipitation/Rain                                                                  "
"23",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","31","Excess Moisture/Precipitation/Rain                                                                  ",7,"JUL",NA,1,1,1.34,0,3739.2,102.8,86,16.8,0,0,1.34,890.4,8.66,"Excess Moisture/Precipitation/Rain"
"24",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA," H","61","Wind/Excess Wind                                                                                    ",6,"JUN",NA,1,1,10.72,0,27132,624,434.4,189.6,0,0,10.72,5338.4,8.56,"Wind/Excess Wind"
"25",1992,37,"NC",133,"Onslow                        ",71,"TOBACCO                       ",30,"NULL",NA,"0H","81","Plant Disease                                                                                       ",7,"JUL",NA,1,1,0.864,0,1962.6,80.4,66.6,13.8,0,0,0.972,166.2,2.07,"Plant Disease"
"26",1992,37,"NC",133,"Onslow                        ",81,"SOYBEANS                      ",90,"NULL",NA," H","11","Drought                                                                                             ",7,"JUL",NA,1,1,214.5,0,10963,2490,1748,742,0,0,214.5,6403,2.57,"Drought"
"27",1992,37,"NC",133,"Onslow                        ",81,"SOYBEANS                      ",90,"NULL",NA,"UH","11","Drought                                                                                             ",7,"JUL",NA,2,2,54.86,0,2965.8,611.6,430.4,181.2,0,0,54.86,2629.8,4.3,"Drought"
"28",1992,37,"NC",133,"Onslow                        ",81,"SOYBEANS                      ",90,"NULL",NA,"UH","31","Excess Moisture/Precipitation/Rain                                                                  ",11,"NOV",NA,1,1,26.5,0,1997,253,178,75,0,0,26.5,1997,7.89,"Excess Moisture/Precipitation/Rain                                                                  "
"29",1992,37,"NC",133,"Onslow                        ",81,"SOYBEANS                      ",90,"NULL",NA,"UH","31","Excess Moisture/Precipitation/Rain                                                                  ",11,"NOV",NA,1,1,26.5,0,1997,253,178,75,0,0,26.5,1997,7.89,"Excess Moisture/Precipitation/Rain"
"30",1992,37,"NC",133,"Onslow                        ",81,"SOYBEANS                      ",90,"NULL",NA,"UH","31","Excess Moisture/Precipitation/Rain                                                                  ",1,"JAN",NA,1,1,46.3,0,3187.5,509,356,153,0,0,61.7,4164,8.18,"Excess Moisture/Precipitation/Rain                                                                  "
"31",1992,37,"NC",133,"Onslow                        ",81,"SOYBEANS                      ",90,"NULL",NA,"UH","31","Excess Moisture/Precipitation/Rain                                                                  ",1,"JAN",NA,1,1,46.3,0,3187.5,509,356,153,0,0,61.7,4164,8.18,"Excess Moisture/Precipitation/Rain"
