"","COMMODITY.YEAR.ID","STATE.CODE","STATE.ABBREVIATION","COUNTY.CODE","COUNTY.NAME","COMMODITY.CODE","COMMODITY.NAME","INSURANCE.PLAN.CODE","INSURACE.PLAN.NAME.ABBREVIATION","COVERAGE.CATEGORY","STAGE.CODE","CAUSE.OF.LOSS.CODE","CAUSE.OF.LOSS.DESCRIPTION.x","MONTH.OF.LOSS","MONTH.OF.LOSS.NAME","YEAR.OF.LOSS","POLICIES.EARNING.PERMIUM","POLICIES.INDEMNIFIED","NET.PLANTED.ACRES","NET.ENDORSED.ACRES","LIABILITY","TOTAL.PREMIUM","PRODUCER.PAID.PREMIUM","SUBSIDY","STATE_PRIVATE.SUBSIDY","ADDITIONAL.SUBSIDY","NET.DETERMINED.ACRES","INDEMNITY.AMOUNT","LOSS.RATIO","CAUSE.OF.LOSS.DESCRIPTION.y"
"6296",1992,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",30,"NULL",NA,"0H","11","Drought                                                                                             ",7,"JUL",NA,1,1,5.748,0,13255.6,437.2,305,132.2,0,0,5.748,5664.4,12.96,"Drought"
"6297",1992,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",30,"NULL",NA,"0H","21","Hail                                                                                                ",6,"JUN",NA,1,1,18.678,0,36772.2,1290.6,893.4,397.2,0,0,18.678,5052,3.91,"Hail"
"6298",1992,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",30,"NULL",NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",8,"AUG",NA,1,1,8.252,0,19030.4,627.8,438,189.8,0,0,8.252,7944.6,12.65,"Excess Moisture/Precipitation/Rain                                                                  "
"6299",1992,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",30,"NULL",NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",8,"AUG",NA,1,1,8.252,0,19030.4,627.8,438,189.8,0,0,8.252,7944.6,12.65,"Excess Moisture/Precipitation/Rain"
"6300",1992,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",30,"NULL",NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",10,"OCT",NA,1,1,12.452,0,24514.8,860.4,595.6,264.8,0,0,12.452,3368,3.91,"Excess Moisture/Precipitation/Rain                                                                  "
"6301",1992,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",30,"NULL",NA,"0H","31","Excess Moisture/Precipitation/Rain                                                                  ",10,"OCT",NA,1,1,12.452,0,24514.8,860.4,595.6,264.8,0,0,12.452,3368,3.91,"Excess Moisture/Precipitation/Rain"
"6302",1992,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",90,"NULL",NA,"0R","99","Other (Volcano,Snow,Lightning,etc)                                                                ",5,"MAY",NA,1,1,476,0,35850,10468,8712,1756,0,0,39.7,655,0.06,"Other (Snow, Lightning, Etc.)"
"6303",1993,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",84,NA,NA," H","11","Drought                                                                                             ",6,"JUN",NA,1,1,84.06,0,70665,6501.3,4522.5,1978.8,0,0,72.96,2449.2,0.38,"Drought"
"6304",1993,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",84,NA,NA,"UH","11","Drought                                                                                             ",6,"JUN",NA,1,1,84.06,0,70665,6501.3,4522.5,1978.8,0,0,95.16,79996.2,12.3,"Drought"
"6305",1993,37,"NC",137,"Pamlico                       ",9999,"All Other Crops               ",30,NA,NA," H","11","Drought                                                                                             ",6,"JUN",NA,1,1,20.7,0,52088.4,2718.9,2250,468.9,0,0,20.7,25920.9,9.53,"Drought"
